approved-meat-establishment	company	meat-establishment-type	meat-establishment-operation	meat-establishment-outcome	local-authority	meat-establishment-audit-date	meat-establishment-audit-frequency	meat-establishment-next-audit-due-date	start-date	end-date
2093	Cranswick Country Foods  Plc	3	18	2	North Humberside	2016-11-24	36	2019-11-01		
2093	Cranswick Country Foods  Plc	1	18	2	North Humberside	2016-11-24	36	2019-11-01		
2339	Mainland Poultry Ltd	1	18	2	Greater Manchester	2016-05-26	24	2018-05-01		
2410	Ravendale Foods Limited	1	18	1	County Durham	2016-11-08	12	2017-11-01		
3008	Noble Foods Limited	3	18	2	Lincolnshire	2017-05-17	36	2020-05-01		
3008	Noble Foods Limited	1	18	2	Lincolnshire	2017-05-17	36	2020-05-01		
3011	Moy Park	3	18	2	Lincolnshire	2016-10-18	18	2018-04-01		
3011	Moy Park	1	18	2	Lincolnshire	2016-10-18	18	2018-04-01		
4024	Kingswood Poultry (2011) Limited	1	18	2	Cheshire	2017-05-25	24	2019-05-01		
4053	Midland Bacon Company	1	18	1	West Midlands	2017-06-21	12	2018-06-01		
4085	Tulip Fresh Meats (Ashton)	3	18	1	Cheshire	2016-10-26	12	2017-10-01		
4085	Tulip Fresh Meats (Ashton)	1	18	1	Cheshire	2016-10-26	12	2017-10-01		
4090	F A Gill Ltd	3	18	1	West Midlands	2017-07-25	12	2018-07-01		
4090	F A Gill Ltd	1	18	1	West Midlands	2017-07-25	12	2018-07-01		
4667	Faccenda Foods Limited	1	18	1	Shropshire	2016-09-22	12	2017-09-01		
4793	2 Sisters Food Group Ltd	1	18	2	West Midlands	2017-07-19	24	2019-07-01		
4798	Theos Food Company Limited	1	18	2	West Midlands	2017-02-08	24	2019-02-01		
4875	Central Frozen Food Supplies Ltd	1	18	3	Staffordshire	2017-08-17	3	2017-11-01		
5008	Eye Poultry	3	18	1	Suffolk	2017-02-27	12	2018-02-01		
5008	Eye Poultry	1	18	1	Suffolk	2017-02-27	12	2018-02-01		
5049	Bernard Matthews Foods  Limited	3	18	2	Suffolk	2015-04-28	18	2016-10-01		
5049	Bernard Matthews Foods  Limited	1	18	2	Suffolk	2015-04-28	18	2016-10-01		
5213	Cranswick Country Foods Plc	3	18	1	Norfolk	2016-09-19	12	2017-09-01		
5213	Cranswick Country Foods Plc	1	18	1	Norfolk	2016-09-19	12	2017-09-01		
5464	Banham Poultry Limited	3	18	1	Norfolk	2016-10-13	12	2017-10-01		
5464	Banham Poultry Limited	1	18	1	Norfolk	2016-10-13	12	2017-10-01		
9502	Moy Park Ltd	3	18	2	Co. Tyrone	2017-07-25	18	2019-01-01		
9502	Moy Park Ltd	1	18	2	Co. Tyrone	2017-07-25	18	2019-01-01		
7161	Capestone Organic Poultry Limited	3	18	2	Pembrokeshire	2017-02-21	18	2018-08-01		
7161	Capestone Organic Poultry Limited	1	18	2	Pembrokeshire	2017-02-21	18	2018-08-01		
1000	Ahmed Brothers Halal Poultry Products	1	19	2	West Midlands	2016-06-17	24	2018-06-01		
1004	Newby Foods Limited	1	19	2	North Yorkshire	2016-10-13	24	2018-10-01		
1006	Aubrey Allen Limited	1	19	2	West Midlands	2016-11-28	24	2018-11-01		
1007	Frank Bird (Poultry) Limited	3	19	1	Cumbria	2017-06-29	12	2018-06-01		
1007	Frank Bird (Poultry) Limited	1	19	1	Cumbria	2017-06-29	12	2018-06-01		
1008	K D Catering Butchers Ltd	1	19	2	East Sussex	2017-07-05	12	2018-07-01		
1009	Karaca Meat Limited	1	19	1	East Sussex	2017-07-14	12	2018-07-01		
1011	A H Conisbee & Co	1	19	1	Surrey	2016-12-15	12	2017-12-01		
1012	C S P (Food Services) Limited	1	19	2	Greater London	2016-11-30	12	2017-11-01		
1014	Trendy Foods Limited	1	19	2	London	2016-06-08	24	2018-06-01		
1017	R.S. Ashby Limited	1	19	1	Greater London	2017-05-23	12	2018-05-01		
1018	Gunne Butchers Uk Ltd	1	19	1	East Sussex	2016-11-01	12	2017-11-01		
1019	Fairfax Meadow	1	19	1	London	2017-05-17	12	2018-05-01		
1024	Jon Thorner's Ltd	1	19	1	Somerset	2016-12-09	12	2017-12-01		
1025	Martins Meats	1	19	1	Gloucestershire	2016-11-15	12	2017-11-01		
1027	West End Meats Limited	1	19	2	London	2016-07-18	24	2018-07-01		
1028	Swandean Fresh Meats Ltd	1	19	2	West Sussex	2017-02-07	24	2019-02-01		
1030	Burtons Catering Butchers	1	19	1	Essex	2017-05-03	12	2018-05-01		
1032	Elite Frozen Foods Limited	1	19	2	East Sussex	2016-05-23	24	2018-05-01		
1034	Bartlett & Sons Limited	1	19	1	Avon	2016-09-13	12	2017-09-01		
1037	Parkers Foodservice Ltd	1	19	1	West Sussex	2016-08-10	12	2017-08-01		
1040	D B Foods Limited	1	19	1	Dorset	2017-02-15	12	2018-02-01		
1045	Knight Meats Ltd	1	19	1	Essex	2016-12-14	12	2017-12-01		
1046	Northern Catering Butchers Limited	1	19	2	South Yorkshire	2017-05-19	12	2018-05-01		
1049	Bredbury Catering Limited	1	19	2	Cheshire	2016-10-12	24	2018-10-01		
1051	Little Angus	1	19	1	Dorset	2017-01-24	12	2018-01-01		
1052	Freshasia Foods Ltd	1	19	2	Kent	2016-08-08	24	2018-08-01		
1053	Standard Plus Limted	1	19	2	West Midlands	2017-07-12	12	2018-07-01		
1056	Donerfield	1	19	2	Greater London	2016-03-17	24	2018-03-01		
1057	P J Roofe Catering Butchers	1	19	2	Norfolk	2016-02-10	24	2018-02-01		
1060	Ashlyns Organics Ltd	1	19	2	Essex	2016-07-06	24	2018-07-01		
1061	Henson Foods Ltd	1	19	1	London	2017-01-09	12	2018-01-01		
1064	Clifton  Quality Meats Ltd	1	19	2	West Yorkshire	2016-04-08	24	2018-04-01		
1065	Traymoor Ltd	1	19	2	Essex	2017-06-26	12	2018-06-01		
1066	Temple Meats Ltd	1	19	2	South Yorkshire	2017-06-21	24	2019-06-01		
1068	Michaels Meat Market Ltd	1	19	2	Greater London	2016-07-20	24	2018-07-01		
1069	Philip Dennis Foodservice	1	19	1	Devon	2017-07-21	12	2018-07-01		
1071	Essex Poultry Ltd	1	19	2	Essex	2016-08-12	24	2018-08-01		
1073	Clark And Son	1	19	2	Suffolk	2016-10-17	12	2017-10-01		
1080	C&P Meat Sales Limited	1	19	1	Gloucestershire	2017-02-22	12	2018-02-01		
1089	M Coban Limited	1	19	2	London	2017-02-27	12	2018-02-01		
1090	Cleveleys Foods Limited	1	19	2	Suffolk	2017-03-16	24	2019-03-01		
1092	D. T. Independent Foods Limited	1	19	2	Essex	2016-03-04	24	2018-03-01		
1095	Blakemore Fresh Foods	1	19	2	West Midlands	2016-04-26	24	2018-04-01		
1096	Birtwistles Catering Butchers	1	19	1	Greater Manchester	2017-05-09	12	2018-05-01		
2000	Sam Cole Food Group Limited	1	19	2	Suffolk	2016-08-23	24	2018-08-01		
2001	Deckers Restaurants Limited	1	19	2	Lancashire	2016-01-07	24	2018-01-01		
2002	Beez Neez Limited	1	19	2	Essex	2016-02-01	24	2018-02-01		
2006	Tcr Food Services Ltd	1	19	2	West Midlands	2016-06-24	24	2018-06-01		
2012	Tpb Foods Limited	1	19	2	Lancashire	2017-02-08	12	2018-02-01		
2014	Hazel's Butchers Ltd	1	19	2	Norfolk	2017-04-24	24	2019-04-01		
2018	The London Meat Co Ltd	1	19	1	Middlesex	2017-06-19	12	2018-06-01		
2023	T Soanes & Son (Poultry) Ltd	3	19	1	East Yorkshire	2017-06-20	12	2018-06-01		
2023	T Soanes & Son (Poultry) Ltd	1	19	1	East Yorkshire	2017-06-20	12	2018-06-01		
2026	Pinnacle Foods Limited	1	19	2	Hampshire	2017-07-11	24	2019-07-01		
2028	Spar Distribution Centre	1	19	2	Lancashire	2016-02-02	24	2018-02-01		
2030	C & G Wholesale  Foods Ltd	1	19	1	Lancashire	2017-04-19	12	2018-04-01		
2033	Reeves Butchers Ltd.	1	19	2	Berkshire	2017-06-08	24	2019-06-01		
2037	2 Sisters Food Group Limited	3	19	2	North Lincolnshire	2016-07-06	36	2019-07-01		
2037	2 Sisters Food Group Limited	1	19	2	North Lincolnshire	2016-07-06	36	2019-07-01		
2040	Lsa Meats	1	19	2	South Yorkshire	2016-06-02	24	2018-06-01		
2044	Peter Gradon Meat & Poultry Marketing Ltd	1	19	2	West Yorkshire	2016-03-10	24	2018-03-01		
2045	Dovecote Park Limited	3	19	1	West Yorkshire	2017-03-30	12	2018-03-01		
2045	Dovecote Park Limited	1	19	1	West Yorkshire	2017-03-30	12	2018-03-01		
2057	County Foods Limited	1	19	2	Dorset	2017-06-01	12	2018-06-01		
2058	Honeywell Meats Ltd	1	19	1	Lancashire	2017-02-16	12	2018-02-01		
2059	Aire Valley Frozen Food Limited	1	19	2	West Yorkshire	2016-06-17	24	2018-06-01		
2064	Hussain Meats Ltd	1	19	2	Middlesex	2017-07-14	12	2018-07-01		
2066	Thompson (Wholesale Meat) Ltd	3	19	2	County Durham	2016-11-15	36	2019-11-01		
2066	Thompson (Wholesale Meat) Ltd	1	19	2	County Durham	2016-11-15	36	2019-11-01		
2067	Jak Food Services Limited	1	19	2	Suffolk	2016-06-06	24	2018-06-01		
2078	R & P Meats Limited	1	19	2	Cambridgeshire	2016-11-09	24	2018-11-01		
2084	N H Whittle Meats Ltd	1	19	2	Tyne and Wear	2017-07-04	12	2018-07-01		
2097	M I Dickson Ltd	1	19	2	Tyne and Wear	2016-10-06	24	2018-10-01		
2102	N Bramall & Son Ltd	3	19	1	South Yorkshire	2017-07-19	12	2018-07-01		
2102	N Bramall & Son Ltd	1	19	1	South Yorkshire	2017-07-19	12	2018-07-01		
2103	T S Hartley And Sons Ltd	1	19	2	North Yorkshire	2016-04-12	24	2018-04-01		
2110	Osborne Poultry Products	1	19	1	West Midlands	2017-03-13	12	2018-03-01		
2111	Price & Fretwell Ltd	1	19	1	Derbyshire	2016-11-14	12	2017-11-01		
2113	Jc Rook & Sons Factory And Food Services	1	19	1	Kent	2017-05-03	12	2018-05-01		
2118	Grove Foods Ltd	1	19	2	Middlesex	2016-07-25	24	2018-07-01		
2119	Umutet Limited	1	19	1	Greater London	2017-07-18	12	2018-07-01		
2124	Pera Foods Limited	1	19	1	Middlesex	2016-11-11	12	2017-11-01		
2125	Barbican Supplies Ltd	1	19	1	London	2017-05-09	12	2018-05-01		
2132	Woolley Bros.(North East) Limited	1	19	1	County Durham	2017-02-07	12	2018-02-01		
2138	West Scottish Lamb Limited	3	19	3	Cumbria	2017-06-22	3	2017-09-01		
2138	West Scottish Lamb Limited	1	19	3	Cumbria	2017-06-22	3	2017-09-01		
2141	Abp York	3	19	2	North Yorkshire	2017-03-23	36	2020-03-01		
2141	Abp York	1	19	2	North Yorkshire	2017-03-23	36	2020-03-01		
2143	W A Foods	1	19	1	Isle of Wight	2017-01-30	12	2018-01-01		
2144	Island Foods Limited	1	19	2	Isle of Wight	2016-08-04	24	2018-08-01		
2150	Kernow Sausage Company Limited	1	19	1	Cornwall	2017-05-05	12	2018-05-01		
2161	J A Jewitt (Meat) Ltd	3	19	1	County Durham	2016-10-24	12	2017-10-01		
2161	J A Jewitt (Meat) Ltd	1	19	1	County Durham	2016-10-24	12	2017-10-01		
2163	Peter Boddy Licensed Slaughterers And Game Dealers	3	19	1	West Yorkshire	2017-03-27	12	2018-03-01		
2163	Peter Boddy Licensed Slaughterers And Game Dealers	1	19	1	West Yorkshire	2017-03-27	12	2018-03-01		
2166	Block And Cleaver Limited	1	19	1	Kent	2016-10-13	12	2017-10-01		
2172	Foyle Gloucester	3	19	2	Gloucestershire	2016-04-12	36	2019-04-01		
2172	Foyle Gloucester	1	19	2	Gloucestershire	2016-04-12	36	2019-04-01		
2174	Rapyal Meat & Poultry Ltd	1	19	1	West Midlands	2017-03-20	12	2018-03-01		
2176	Crawshaw Butchers Limited	1	19	2	South Yorkshire	2016-08-24	24	2018-08-01		
2178	T H Motson & Sons Ltd	1	19	2	South Yorkshire	2016-06-20	24	2018-06-01		
2179	H Gowers	1	19	1	South Yorkshire	2016-12-14	12	2017-12-01		
2186	Moo Moo	1	19	1	Cheshire	2017-03-30	12	2018-03-01		
2189	The Quality Meat Company	1	19	1	Surrey	2016-09-13	12	2017-09-01		
2190	London Poultry	1	19	1	Greater London	2016-12-01	12	2017-12-01		
2191	Premium Poultry Products Limited	1	19	1	Lancashire	2016-12-13	12	2017-12-01		
2194	Ritter Fresh	1	19	1	Avon	2017-07-18	12	2018-07-01		
2222	Khawaja Poultry Limited	1	19	1		2017-04-04	12	2018-04-01		
2227	Underwood Meat Company Limited	1	19	2	Surrey	2016-01-27	24	2018-01-01		
2230	Underwood Meat Company Limited	1	19	2	Kent	2017-05-17	24	2019-05-01		
2235	Rainbow Meat Ltd	1	19	2	London	2016-10-31	12	2017-10-01		
2246	William White Meats Limited	1	19	1	Essex	2016-11-07	12	2017-11-01		
2252	R & S Wholesale Butchers Ltd	1	19	2	East Yorkshire	2016-07-21	24	2018-07-01		
2253	Zabihah Halal Group	1	19	1		2017-08-16	12	2018-08-01		
2256	Hv Graves	3	19	1	Norfolk	2017-05-11	12	2018-05-01		
2256	Hv Graves	1	19	1	Norfolk	2017-05-11	12	2018-05-01		
2257	Weddel Swift Distribution Limited	1	19	2	East Riding of North Yorkshire	2017-02-21	12	2018-02-01		
2261	J. W. Young (Butchers) Limited	1	19	2	South Yorkshire	2016-06-30	24	2018-06-01		
2263	Handcross Butchers Ltd	1	19	2	West Sussex	2016-09-06	24	2018-09-01		
2264	Jackson Meats Limited	1	19	2	Suffolk	2016-03-02	24	2018-03-01		
2266	L & S Jones And Sons	1	19	2	Lancashire	2017-06-23	24	2019-06-01		
2268	Coopers Of Andover	1	19	1	Hampshire	2017-05-17	12	2018-05-01		
2270	Select Poultry & Meat Ltd	1	19	1	Essex	2017-03-28	12	2018-03-01		
2271	H Greaves & Son (Meat Products) Ltd	1	19	2	Lancashire	2016-04-13	24	2018-04-01		
2274	Alpine Fine Foods Limited	1	19	1	East Yorkshire	2017-05-03	12	2018-05-01		
2277	D W Gillette Catering Butchers	1	19	1	Wiltshire	2017-05-17	12	2018-05-01		
2282	M & T Butchers Preston Ltd	1	19	1	Lancashire	2017-03-07	12	2018-03-01		
2285	John Penny And Sons	3	19	1	West Yorkshire	2017-08-30	12	2018-08-01		
2285	John Penny And Sons	1	19	1	West Yorkshire	2017-08-30	12	2018-08-01		
2291	L Wood & Sons	3	19	1	West Yorkshire	2017-05-12	12	2018-05-01		
2291	L Wood & Sons	1	19	1	West Yorkshire	2017-05-12	12	2018-05-01		
2296	The Eden Valley Meat Company Ltd	3	19	2	Cumbria	2016-11-22	18	2018-05-01		
2296	The Eden Valley Meat Company Ltd	1	19	2	Cumbria	2016-11-22	18	2018-05-01		
2302	Hadfield Catering Butchers Limited	1	19	2	South Yorkshire	2016-08-03	24	2018-08-01		
2307	Taylors Catering Foods Ltd	1	19	1	Worcestershire	2017-01-19	12	2018-01-01		
2315	Harris & Son Wholesale Meats Ltd	1	19	2	Kent	2016-11-09	24	2018-11-01		
2316	The Original Chicken Co. Ltd.	1	19	1	Lancashire	2017-07-05	12	2018-07-01		
2318	Al Haq Poultry	1	19	1	Greater Manchester	2016-11-25	12	2017-11-01		
2324	Adam Halal Foods Limited	1	19	3	West Midlands	2017-08-23	3	2017-11-01		
2329	Khan And Sons	1	19	1	West Midlands	2017-01-27	12	2018-01-01		
2332	Imran Halal Poultry	1	19	2	Hertfordshire	2016-12-19	12	2017-12-01		
2336	Cam Catering Butchers Limited	1	19	2	Gloucestershire	2016-07-19	24	2018-07-01		
2343	J & E Medcalf Limited	3	19	1	West Yorkshire	2016-10-17	12	2017-10-01		
2343	J & E Medcalf Limited	1	19	1	West Yorkshire	2016-10-17	12	2017-10-01		
2351	Kurpas Meats Ltd	1	19	1	Greater Manchester	2017-01-30	12	2018-01-01		
2358	Milford Farm Limited	1	19	1	West Yorkshire	2016-12-08	12	2017-12-01		
2362	Nidderdale Poultry Products Ltd	1	19	2	North Yorkshire	2016-06-07	24	2018-06-01		
2368	J S Quality Meats Limited	1	19	2	Staffordshire	2016-01-11	24	2018-01-01		
2371	Cranswick Riverside	1	19	2	East Yorkshire	2016-04-27	24	2018-04-01		
2397	Rowland Agar (Slaughtering Contractors) Limited	3	19	1	West Yorkshire	2017-07-28	12	2018-07-01		
2397	Rowland Agar (Slaughtering Contractors) Limited	1	19	1	West Yorkshire	2017-07-28	12	2018-07-01		
2401	J & D Papworth Ltd	1	19	2	Norfolk	2016-06-01	24	2018-06-01		
2414	Towers Thompson Mexborough	1	19	2	South Yorkshire	2016-09-29	24	2018-09-01		
2415	Clarke Meats Limited	1	19	2	West Yorkshire	2016-03-17	24	2018-03-01		
2427	Holden Meats Ltd	1	19	2	South Yorkshire	2016-02-18	24	2018-02-01		
2428	R & M Meats Limited	1	19	1	West Yorkshire	2016-11-07	12	2017-11-01		
2432	R J Moult Poultry Wholesalers	1	19	2	West Yorkshire	2017-01-19	12	2018-01-01		
2438	Mcintyre  Meats Limited	3	19	2	North Yorkshire	2016-03-31	18	2017-09-01		
2438	Mcintyre  Meats Limited	1	19	2	North Yorkshire	2016-03-31	18	2017-09-01		
2443	H D V Foods Limited	1	19	2	County Durham	2016-07-12	24	2018-07-01		
2444	Pak Poultry Products Ltd	1	19	1	West Yorkshire	2017-01-24	12	2018-01-01		
2448	Chris Adamson Wholesale Butchers	1	19	2	West Yorkshire	2016-01-18	24	2018-01-01		
2452	Country Valley Foods Ltd	1	19	2	Teesside	2017-08-01	24	2019-08-01		
2453	Ccm Quality Foods	1	19	1	North Yorkshire	2017-02-16	12	2018-02-01		
2457	Yorkshire Dales Meat Company Ltd	1	19	2	North Yorkshire	2017-08-15	12	2018-08-01		
2458	Abp Doncaster	1	19	2	South Yorkshire	2016-04-21	24	2018-04-01		
2462	Turner & Price Limited	1	19	2		2016-10-06	12	2017-10-01		
2464	Underwood Meat Company Ltd	1	19	2	South Yorkshire	2016-04-18	24	2018-04-01		
2466	Holdsworth	1	19	2	West Yorkshire	2017-05-09	12	2018-05-01		
2468	Doric Game Ltd	1	19	2	West Yorkshire	2017-01-30	12	2018-01-01		
2471	R & J Yorkshire's Finest	1	19	2	North Yorkshire	2017-03-21	24	2019-03-01		
2474	Pfd (Carlisle) Ltd	1	19	2	Tyne and Wear	2017-04-04	12	2018-04-01		
2475	Freeman Catering Butchers	1	19	1	Tyne and Wear	2016-10-19	12	2017-10-01		
2477	Langthorne's Buffalo Produce	3	19	2	North Yorkshire	2017-04-19	18	2018-10-01		
2477	Langthorne's Buffalo Produce	1	19	2	North Yorkshire	2017-04-19	18	2018-10-01		
2478	Gillams Butchers	1	19	2	West Yorkshire	2016-10-26	24	2018-10-01		
2481	Russell Hume Limited	1	19	2	North Yorkshire	2016-09-06	12	2017-09-01		
2483	R P J Meat Wholesale Ltd	1	19	2	West Yorkshire	2016-12-12	24	2018-12-01		
2484	Warren Butterworth Catering Butchers Ltd	1	19	2	Tyne and Wear	2016-03-22	24	2018-03-01		
2487	Best Meat (Uk) Ltd	1	19	2	South Yorkshire	2017-05-16	12	2018-05-01		
2488	J.W. Young (Butchers) Ltd	1	19	2	South Yorkshire	2016-05-25	24	2018-05-01		
2489	Sykes House Farm Ltd	1	19	2	West Yorkshire	2017-01-26	24	2019-01-01		
2490	B S Meats	1	19	2	Lancashire	2016-05-23	24	2018-05-01		
2494	Thompsons Food Service Ltd	1	19	2	Norfolk	2017-06-22	24	2019-06-01		
2495	Imperial Fast Food Distribution Ltd	1	19	2	Greater London	2016-09-29	24	2018-09-01		
2496	Kht (Uk) Ltd	1	19	2	Greater London	2016-02-29	24	2018-02-01		
2498	S R Cooper Meats Ltd	1	19	1	Essex	2017-01-16	12	2018-01-01		
2500	Jlp Meats	1	19	1	Greater london	2017-04-24	12	2018-04-01		
2501	A. J. Leese Turkeys Ltd	3	19	2	Staffordshire	2017-02-21	18	2018-08-01		
2501	A. J. Leese Turkeys Ltd	1	19	2	Staffordshire	2017-02-21	18	2018-08-01		
2507	Sidor Meat Limited	1	19	1	Worcestershire	2017-06-23	12	2018-06-01		
2513	Hackney Meat Traders Ltd	1	19	2	Greater London	2016-03-16	24	2018-03-01		
2514	Korea Foods Company Limited Birmingham Warehouse	1	19	2	West Midlands	2017-07-10	12	2018-07-01		
2517	Majestic Meat Ltd	1	19	1	West Yorkshire	2016-12-15	12	2017-12-01		
2518	Packington Free Range	1	19	2	Staffordshire	2016-02-04	24	2018-02-01		
2519	Deniz Catering Fast Food Limited	1	19	2	Greater London	2016-11-18	24	2018-11-01		
2521	Edmonton Meat Centre Ltd	1	19	2	Greater London	2016-10-04	24	2018-10-01		
2523	Herb Fed Ltd	1	19	2	North Yorkshire	2016-04-20	24	2018-04-01		
2525	John Coysten Meats	1	19	2	Essex	2017-07-24	24	2019-07-01		
2527	Palfrey And Hall	1	19	2	Suffolk	2016-01-29	24	2018-01-01		
2535	Stoke Chicken Limited	1	19	2	Staffordshire	2016-04-21	24	2018-04-01		
2538	Hbh Foods	1	19	2	Greater London	2016-07-28	24	2018-07-01		
2539	A B Butchers Limited	1	19	2	Greater London	2016-10-18	24	2018-10-01		
2540	Northern Halal Meat And Poultry Limited	1	19	1	West Yorkshire	2017-07-12	12	2018-07-01		
2541	Burts Catering Butchers Limited	1	19	2	East Sussex	2016-05-17	24	2018-05-01		
2542	Norfolk Quail Limited	3	19	2	Norfolk	2016-03-16	36	2019-03-01		
2542	Norfolk Quail Limited	1	19	2	Norfolk	2016-03-16	36	2019-03-01		
2544	Swaledale Foods Ltd	1	19	2	North Yorkshire	2016-10-25	24	2018-10-01		
2546	Elite Poultry Ltd	1	19	1	Bristol	2017-01-31	12	2018-01-01		
2547	Ben Creese Country Butchers Ltd	1	19	1	Gloucestershire	2017-01-27	12	2018-01-01		
2548	Turner's Game	3	19	1	Kent	2016-10-05	12	2017-10-01		
2551	Takbeer Poultry And Products Ltd	1	19	2	West Yorkshire	2017-08-31	12	2018-08-01		
2552	Asia Halal Meat Supplier Ltd	1	19	2	West Midlands	2016-12-12	12	2017-12-01		
2553	Highgate Poultry	1	19	1	West Midlands	2017-02-17	12	2018-02-01		
2554	E & P Catering Butchers Limited	1	19	1	West Midlands	2016-09-22	12	2017-09-01		
2557	Wiltshire Bacon Company	1	19	2	Wiltshire	2017-07-26	12	2018-07-01		
2558	John Crawshaw Butchers	1	19	2	South Yorkshire	2016-08-11	12	2017-08-01		
2559	The Fine Food Company Uk Limited	1	19	2	Somerset	2016-11-29	12	2017-11-01		
2562	Al-Badia	1	19	2	Greater London	2017-02-15	24	2019-02-01		
2563	Al-Noor Poultry Products Ltd	1	19	1	West Midlands	2016-11-23	12	2017-11-01		
2565	Punjab Meat Traders Limited	1	19	1	Lancashire	2016-12-13	12	2017-12-01		
2571	Shahzad Halal Butchers	1	19	2	Greater London	2016-02-10	24	2018-02-01		
2576	Bfc Distribution Limited	1	19	1	Greater London	2017-04-04	12	2018-04-01		
2578	Danish Crown	1	19	2	Greater Manchester	2016-04-06	24	2018-04-01		
2580	J Mato & Son Limited	1	19	2	Dorset	2016-04-28	24	2018-04-01		
2581	Metro Chicken & Meat Limited	1	19	2	Greater London	2017-04-18	12	2018-04-01		
2582	Hakikat Halal Meat Limited	1	19	2	London	2016-02-24	24	2018-02-01		
2583	Cootehill Poultry	1	19	2	Derbyshire	2016-06-02	24	2018-06-01		
2584	Steakout Meat Co	1	19	2	Greater London	2016-08-03	24	2018-08-01		
2586	Great Central Meats Limited	1	19	2	Leicestershire	2016-06-29	24	2018-06-01		
2588	Carna Meats (London) Ltd	1	19	1	Greater London	2017-06-06	12	2018-06-01		
2590	Fulton Holding (Leeds) Limited	3	19	2	West Midlands	2016-12-01	36	2019-12-01		
2594	Mckuhens Of Liverpool	1	19	3	Merseyside	2017-07-26	3	2017-10-01		
2595	Lincolnshire Game Ltd	3	19	2		2016-09-15	18	2018-03-01		
2595	Lincolnshire Game Ltd	1	19	2		2016-09-15	18	2018-03-01		
2597	The Woodhouse Butchery Ltd	1	19	2	West Sussex	2016-09-19	24	2018-09-01		
2598	Style Farm Butchers Limited	1	19	3	Wiltshire	2017-08-09	3	2017-11-01		
2599	Amara Meat Ltd	1	19	1		2017-07-24	12	2018-07-01		
2601	Sheffileld Poultry Limited	1	19	2	South Yorkshire	2017-02-08	24	2019-02-01		
2605	Taste Tradition Limited	1	19	3	North Yorkshire	2017-08-29	3	2017-11-01		
2606	Ruby & White Butchers	1	19	1		2016-10-26	12	2017-10-01		
2607	Stadium Leisure	1	19	1		2017-08-08	12	2018-08-01		
2610	Rumps Of Warwick	1	19	1	Warwickshire	2017-02-23	12	2018-02-01		
2611	Prime Quality Foods London Ltd	1	19	2	Greater London	2017-02-28	24	2019-02-01		
2612	H&H Caterers Limited	1	19	4	Wiltshire	2017-08-07	2	2017-10-01		
2615	Le Marche Des Chefs	1	19	2	Greater London	2017-01-31	24	2019-01-01		
2616	Jolly Foods (Oxon) Limited	1	19	2	Oxfordshire	2017-01-30	12	2018-01-01		
2617	Ay Meats Ltd	1	19	2	Greater London	2017-01-24	24	2019-01-01		
2619	Subhan Halal Meat	1	19	1		2017-03-22	12	2018-03-01		
2620	Bolton Halal Poultry Ltd	1	19	2		2017-04-26	24	2019-04-01		
2622	Buxton Butchers Ltd	1	19	1	Somerset	2017-02-23	12	2018-02-01		
2624	Dean Food Limited	1	19	2		2017-06-22	24	2019-06-01		
2628	Millers Catering Butchers	1	19	1		2016-11-03	12	2017-11-01		
2636	Rehman & Sons Meat Wholesale Ltd	1	19	2		2016-10-04	12	2017-10-01		
2638	Derya Meat Ltd	1	19	2		2016-11-03	12	2017-11-01		
2639	H&M Best Meat Ltd	1	19	2		2017-08-24	12	2018-08-01		
2642	The Ginger Pig	1	19	2	North Yorkshire	2016-10-11	12	2017-10-01		
2643	Cad Poultry Ltd	1	19	1		2016-12-05	12	2017-12-01		
2644	Bluefields Grp Ltd	1	19	2		2016-10-12	12	2017-10-01		
2647	Mbs Finest Halal Catering Butchers Limited	1	19	2		2017-07-25	12	2018-07-01		
2648	Al Halal Quality Meats	1	19	1		2017-05-24	12	2018-05-01		
2650	Manningham Poultry Ltd	1	19	2		2017-03-07	12	2018-03-01		
2651	Dost Meat Ltd	1	19	1		2017-03-29	12	2018-03-01		
2654	Cootehill Poultry Products Limited	1	19	2		2017-02-22	12	2018-02-01		
2655	Grassroots Wholesale Foods Ltd	1	19	1	Lancashire	2017-01-25	12	2018-01-01		
2656	The Catering Butcher	1	19	2		2017-03-16	12	2018-03-01		
2657	Shazan Foods Limited	1	19	3		2017-07-13	3	2017-10-01		
2661	Wild Hart Venison Ltd	3	19	1	Devon	2017-06-15	12	2018-06-01		
2661	Wild Hart Venison Ltd	1	19	1	Devon	2017-06-15	12	2018-06-01		
2664	Chicken Joes Limited	1	19	2		2017-03-21	12	2018-03-01		
2666	Yeni Pinar Meat Centre Limited	1	19	2		2017-07-05	12	2018-07-01		
2669	Philip Warren & Son	1	19	1		2017-08-01	12	2018-08-01		
3001	Thatcham Butchers Ltd	1	19	2	Berkshire	2017-08-16	24	2019-08-01		
3003	Faccenda Foods (Lincs) Limited	3	19	2	Lincolnshire	2016-05-11	18	2017-11-01		
3003	Faccenda Foods (Lincs) Limited	1	19	2	Lincolnshire	2016-05-11	18	2017-11-01		
4024	Kingswood Poultry (2011) Limited	1	19	2	Cheshire	2017-05-25	24	2019-05-01		
4026	Faccenda Foods Limited	3	19	1	Derbyshire	2016-10-20	12	2017-10-01		
4026	Faccenda Foods Limited	1	19	1	Derbyshire	2016-10-20	12	2017-10-01		
4045	R & S Platts (Poultry)	1	19	2	Derbyshire	2016-01-26	24	2018-01-01		
